contact_name,contact_email,name,location,founded_date,visible,category,target_client,business_model,description,main_url,twitter_url,angellist_url,crunchbase_url,all_tags,codex_presenter,codex_presentation_date
,,Capture.IT,"Toronto, ON, Canada",2015,true,Practice Management - ,Companies,Legal Tech,Billable hours time-tracking app,http://getcaptureit.com/,https://twitter.com/Capture_it_app,https://angel.co/capture-it,https://www.crunchbase.com/organization/capture-it-tech-limited#/entity,"time tracking, billable hours",,
Ryan Alshak,ryan@timebyping.com,"ping, Inc.","Berkeley, CA",2015,true,Practice Management - ,Unknown,Unknown,We automate timekeeping for lawyers and provide firm analytics for management. ,http://timebyping.com/,@timebyping.com,https://angel.co/ping,https://www.crunchbase.com/organization/ping-6,timekeeping and data analytics,false,
"","",BeeLine Reader,"Woodside, CA, USA",2011,true,E-Discovery - ,Unknown,Unknown,"BeeLine Reader makes reading on-screen easier, faster, and more accessible. Our patented technology has won awards from Stanford University, NewSchools Venture Fund, and The Tech Museum of Innovation. 

Our apps have been featured in the New York Times, BBC, The Atlantic,  Fast Company, and Lifehacker.",http://www.beelinereader.com/,https://twitter.com/BeeLineReader?lang=en,https://angel.co/beeline-reader,"","",false,
"","",Bhavnani Technologies,"Scottsdale, AZ, USA",2014,true,E-Discovery - ,Unknown,Unknown,"We offer a service that provides email and internet privacy and security for households and small businesses.

Bhavnani Technologies specializes in creating new and innovative hardware and software. The company's goal is to make cutting edge technology available to consumers and businesses in a way that is cost effective and easy to use. Our first generation of products are focused on improving electronic communication privacy and security.",http://www.bhavnani.info,"",https://angel.co/bhavnani-technologies,"","",false,
"","",Blackletter,"Chicago, IL, USA",2012,true,Document Automation - ,Unknown,Unknown,"Blackletter enables lawyers and their clients to communicate, collaborate and share documents securely and beautifully across multiple devices.",blackletter.io,https://twitter.com/BlackletterApp?lang=en,https://angel.co/blackletter-1,https://www.crunchbase.com/organization/blackletter-2,"",false,
"","",BleuAcre,"Atlanta, GA, USA",2013,true,Practice Management -  Litigation,Service Providers,Legal Tech,Powerful case management for litigators,http://www.bleuacre.com/,https://twitter.com/BleuAcre,https://angel.co/bleuacre,n/a,litigation,false,
"","",Business Integrity,"London, England, UK",1999,true,Document Automation - ,Unknown,Unknown,"Now part of Thomson Reuters, Business Integrity is a leader in document assembly and contract creation & management for SharePoint and Salesforce.com. For law firms, our document assembly solution helps to drive fee earner efficiency and help law firms to drive new business. For in-house Legal teams, ContractExpress contract creation solutions enables organizations to reduce the time, cost, and risk of creating and managing business contracts.",www.business-integrity.com,https://twitter.com/ContractExpress,"","","",false,
,,Caseflow,"Austin, TX, USA",2012,true,Practice Management - ,Unknown,Unknown,"Caseflow restructures the way legal businesses work. Focusing on personal injury lawyers in the first step, we are developing a US-wide solution to manage law firms more efficiently and reduce overhead. In addition to redesigning the way law firms work internally, it also improves and manages customer relations.",caseflow.co,,,,"",,
,,CaseHub,"London, UK",2015,true,Marketplace - ,Unknown,Unknown,"This is what CaseHub does: we crowdsource legal battles, and take a payout of the winnings or settlement. Each case is financed by law firms or external investors who take a pc of the winnings",casehub.co,,,,"",,
,,Caselinq,"Chicago, IL, USA",1900,true,Practice Management -  Litigation,Unknown,Unknown,No description yet,www.caselinq.com,,,,"",,
,,CaseRails,"New York, NY, USA",2013,true,Document Automation - ,Service Providers,Legal Tech,Perfect Legal Documents. Faster.,http://www.caserails.com,https://twitter.com/CaseRails,https://angel.co/caserails,http://www.crunchbase.com/organization/caserails,documents,,
,,Casetext,"Sunnyvale, CA, USA",2013,true,Legal Research -  Crowdsourcing,Service Providers,Legal Service Using Tech,Legal research on the shoulders of giants.,http://www.casetext.com,https://twitter.com/casetext,https://angel.co/casetext,http://www.crunchbase.com/organization/casetext,"research, crowd-sourcing",,
,,CellBreaker,"Durham, NC, USA",2014,true,E-Discovery - ,Unknown,Unknown,No description yet,cellbreaker.com,,,,"",,
,,Chapter 11 Dockets,Unknown,1900,true,Document Automation - ,Unknown,Unknown,No description yet,,,,,"",,
,,Checkr,"Sunnyvale, CA, USA",2014,true,Document Automation - ,Individuals,Legal Service Using Tech,Automated background screenings and driving records,https://checkr.io/,https://twitter.com/checkr_io,https://angel.co/checkr,http://www.crunchbase.com/organization/checkr,background checks,,
,,Claim Kit,"Overland Park, KS",1900,true,Document Automation - ,Unknown,Unknown,No description yet,www.claimkit.com,,,http://www.crunchbase.com/organization/allegory-law,"",,
,,Clausehound,"Toronto, ON, Canada",2015,true,Document Automation - ,Companies,Legal Tech,Contract drafting and clause library,http://clausehound.com/,,,,"liz, content management, document drafting, leases, ndas",,
,,ClauseMatch,"London, UK",2014,true,Document Automation - ,Unknown,Unknown,"ClauseMatch is a SaaS platform for negotiating smarter contracts and collaborating on documents, solving long time problems of lengthy and expensive process of management of documentation and inability to unlock the information contained within contracts and documents.",http://www.clausematch.com/,,,,"",,
,,ClearContract,"Seattle, WA, USA",2014,true,Document Automation - ,Unknown,Unknown,"Managing contract negotiations is no easy task. Manual tracking and version control, lack of standardization, use of multiple disparate toolsÛ_all of this results in a process that is labor intensive, costly, and leaves the door wide open for mistakes. WeÛªve built a product to minimize risk, reduce the time people spend on tedious work, and maximize the speed at which contracts are executed.",http://www.clearcontract.com/,,,,"",,
,,ClearNDA,"Chicago, IL, USA",2012,true,Document Automation -  Web,Companies,Legal Tech,Securely bringing contract negotiations to the cloud,http://www.clearnda.com/,https://twitter.com/@clearnda,https://angel.co/clearnda,http://www.crunchbase.com/organization/clearnda,"documents, cloud, contracts, web, negotiation",,
,,Clearpath Immigration,"New York, NY, USA",2011,true,Document Automation - ,Individuals,Legal Service Using Tech,Immigration forms made easy.,http://www.clearpathimmigration.com,https://twitter.com/ClearpathForms,https://angel.co/clearpath-immigration,http://www.crunchbase.com/organization/clearpath-immigration,"documents, forms, immigration",,
,,Clerky,"Menlo Park, CA, USA",2013,true,Document Automation - ,Companies,Legal Service Using Tech,Helping startups get legal stuff done right (and fast).,http://clerky.com,https://twitter.com/clerkyinc,https://angel.co/clerky-1,http://www.crunchbase.com/organization/clerky,"documents, forms, incorporation, start-ups",,
,,Clio,"Vancouver, BC, Canada",2008,true,Practice Management - ,Service Providers,Legal Tech,A suite of online tools to help manage your law firm.,http://www.goclio.com/,https://twitter.com/goclio,https://angel.co/clio,http://www.crunchbase.com/organization/clio,practice management,,
,,CliXLEX,"New York, NY, USA",2013,true,Document Automation - ,Unknown,Unknown,"The first platform of its kind, leveraging M2M, AI, Cloud & EDI to create a meeting point & exchange for the legal, regulatory community - enabling & facilitating efficient, cost-effective transactions such as eFiling",clixlex.com,,,https://www.crunchbase.com/organization/clixlex#/entity,"",,
,,ClosingFolders,"Toronto, ON, Canada",2015,true,Document Automation - ,Companies,Legal Tech,Organizing and executing corporate deals,http://www.closingfolders.com/,https://twitter.com/ClosingFolders,,,"legalx, mars, closing checklists, transactions",,
,,Congo,"Boulder, CO, USA",2014,true,Marketplace - ,Unknown,Unknown,An online directory and communication platform for clients and attorneys.,congo.io,,,,"",,
,,contnu,"New York, NY, USA",2011,true,Legal Education - ,Unknown,Unknown,Contnu is Amazon for continuing professional education.,contnu.com,,,,"",,
,,Cited,"Los Angeles, CA, USA",2014,true,Document Automation - ,Unknown,Unknown,"Cited alleviates the headache of contesting your ticket, all without lifting a finger (well, maybe one).",http://citedapp.com,"","","","",,
,,ClearView Social,"Buffalo, NY, USA",2014,true,Practice Management - ,Unknown,Unknown,ClearView Social provides the CMO or Marketing Director at a firm a simple way to queue up content to be shared by the professionals each day.,http://clearviewsocial.com/,"","","","",,
,,Contract Cloud,"Los Angeles, CA, USA",2013,true,Document Automation -  Mobile,Unknown,Unknown,Contract Cloud saves businesses and individuals millions of dollars a year in regulation and litigation costs.,http://www.contractcloudinc.com/,,,http://www.crunchbase.com/organization/caserails,"",,
,,Contractually,"Vancouver, BC, Canada",2010,true,Document Automation -  Web,Companies,Legal Tech,"The fastest, easiest way to do contracts.",http://www.contractual.ly/,https://twitter.com/@contractually,https://angel.co/contractually,http://www.crunchbase.com/organization/contractually,"documents, contracts, web, app",,
,,ContratosApp,"Mexico City, Mexico",2014,true,Document Automation - ,Unknown,Unknown,ContratosApp offers a unique way for freelancers to create simple legal agreements and have an organized legal agenda.,http://www.contratosapp.com/,,,,"",,
"","",Cicayda,"Nashville, TN, USA",2012,true,Practice Management -  Discovery,Service Providers,Legal Tech,eDiscovery technology & services for intelligent litigationÌø_,http://www.cicayda.com/,https://twitter.com/cicayda,n/a,http://www.crunchbase.com/organization/cicayda,discovery,true,2014-12-04
,,Cooley,"Palo Alto, CA, USA",1900,true,Document Automation - ,Unknown,Unknown,"Cooley GO is a new resource for entrepreneurs. Articles, document generators and more. Check it out at cooleygo.com",cooley.com,,,,"",,
,,coparently,"Vancouver, BC, Canada",2014,true,Online Dispute Resolution - ,Unknown,Unknown,coparently is a scheduling and communication tool for divorced & seperated families.,coparently.com,,,,"",,
,,Justia,"Mountain View, CA, USA",2012,true,Legal Research - ,Unknown,Unknown,No description yet,justia.com,,,http://www.crunchbase.com/organization/clearnda,"",,
,,Corporate + Startup Law,"San Francisco, CA, USA",2014,true,Marketplace - ,Unknown,Unknown,"Business law for established and startup companies: incorporation, contracts, transactions, acquisitions, financings, venture capital, equity compensation, stock options, securities law compliance.",http://www.calcorporatecounsel.com/,,,,"",,
,,Corporize,"New York, NY, USA",1900,true,Marketplace - ,Unknown,Unknown,No description yet,www.corporize.com,,,http://www.crunchbase.com/organization/docracy,"",,
,,CosmoLex,"North Brunswick, NJ, USA",2006,true,Practice Management - ,Service Providers,Legal Service Using Tech,Cloud-Based Practice Management Software,http://www.cosmolex.com/,https://twitter.com/CosmoLexLLC,n/a,n/a,"cloud, practice management",,
,,counselytics,"New York, NY, USA",2013,true,Analytics - ,Service Providers,Legal Tech,The Contractual Genome Project,http://www.counselytics.com/,https://twitter.com/counselytics,https://angel.co/counselytics-2,http://www.crunchbase.com/organization/counselytics,"contracts, analytics, data mining",,
,,Court Listener,"Berkeley, CA, USA",2010,true,Legal Research -  Docket retrieval,Service Providers,Legal Service Using Tech,Non-Profit Free Legal Search Engine,https://www.courtlistener.com/,https://twitter.com/courtlistener,n/a,n/a,research,,
,,CourtReader,"Tel Aviv, Israel",2013,true,Practice Management - ,Unknown,Unknown,CourtReader lets lawyers in Israel open digitally signed emails from the court system on their Smartphone. This is the only solution which lets them open these emails not on the PC.,courtreader.co.il,,,,"",,
,,CourtSide EDX,"Toronto, ON, Canada",2015,true,Document Automation - ,Companies,Legal Tech,Service of legal documents,http://www.edxontario.com/,https://twitter.com/CourtSideEDX,,,"document delivery, document exchange",,
,,Credit Swarm,"San Francisco, CA, USA",2012,true,Document Automation - ,Unknown,Unknown,Credit Swarm is a free web application that lets users dispute errors on their credit reports online to all major credit bureaus.,http://creditswarm.herokuapp.com/,,,,"",,
,,Crowdfunding Compliance Center,"New York City, NY, USA",2014,true,Document Automation - ,Unknown,Unknown,Crowdfunding Compliance Center is providing small business owners a suite of online resources to facilitate compliance with JOBS Act Crowdfunding and Regulation CF including:,cfcomply.com,,,,"",,
,,CrowdLaw,"Berkeley, CA, USA",2014,true,Marketplace - ,Unknown,Unknown,CrowdLaw is used by advocates and clients to get the funds they need through easy-to-launch crowdfunding campaigns.,crowdlaw.net,,,,"",,
,,CS Disco,"Houston, TX, USA",2012,true,Practice Management -  Discovery,Service Providers,Legal Tech,Document review done right.,http://www.csdisco.com/,https://twitter.com/CS_Disco,https://angel.co/cs-disco,http://www.crunchbase.com/organization/cs-disco,"documents, document review",,
,,DATY,"Prague, Czech Republic",2014,true,Legal Research - ,Unknown,Unknown,"Using public databases & big data magic, we are doing an ultimate B2B information source about companies most crucial for your business in a form of single feed. It something like Facebook but with your customers (or competitors) instead of friends.",daty.cz,,,,"",,
,,Dealcircle,"Copenhagen, Denmark",2014,true,Document Automation - ,Unknown,Unknown,Organize and execute startup investments with speed and at a fraction of the cost.,dealcircle.co,,,,"",,
,,DealSheet,"New York, NY, USA",2013,true,Marketplace - ,Individuals,Legal Service Using Tech,Find investment bankers and lawyers with relevant deal experience,http://www.dealsheet.com/,n/a,https://angel.co/dealsheet,n/a,"web, find-a-lawyer, investment, banker, deals",,
,,Dent,"Las Vegas, NV, USA",2015,true,Document Automation - ,Unknown,Unknown,"Dent is a mobile App connected to a CMS for lawyers and insurance companies to put the end-user in the driver seat to monitor and take control of his/her insurance claim(s), monitor lawyer progress and medical without making an Appt. and to stop being charged by the minute.",,,,,"",,
,,"Depot Services, Inc.","Baltimore, MD, USA",2015,true,Practice Management - ,Unknown,Unknown,LegalLogs empowers clients through mobile and desktop interfaces to feed task driven information into their case,legallogs.com,,,,"",,
,,GhostPractice,"Toronto, ON, Canada",2015,true,Practice Management - ,Companies,Legal Tech,Practice management software,http://www.ghostpractice.ca/,,,,"case management, document management, time tracking, legal accounting",,
,,Contractlytics,Salt Lake City,2012,true,Analytics - ,Unknown,Unknown,Contract analytics,http://www.contractlytics.com/,"","","","",,
,,Counterfeit.Technology,"New York, NY, USA",2014,true,Analytics - ,Unknown,Unknown,"We scan the Web for sites selling counterfeit versions of your proprietary products and then ask every major traffic sources to remove those sites. Now, their customers can't find them anymore. It's really that simple.",http://counterfeit.technology/AL,"","","","",,
,,Crypho,"Oslo, Norway",2012,true,Practice Management - ,Unknown,Unknown,"Crypho enables businesses to instantly create real time super-confidential communications channels (chat, file transfers, video conferencing, meetings) across companies.",http://crypho.com,"","","","",,
,,Instadocket,"Boston, MA, USA",2015,true,Practice Management,Unknown,Unknown,Practice Management,www.instadocket.com,"","","","",,
,,LegalRisk.io,"Spokane, WA, USA",2013,true,Analytics,Unknown,Unknown,Analysis,www.legalrisk.io,"","","","",,
,,Derecho24,"Santiago, Chile",2013,true,Marketplace - ,Unknown,Unknown,"It is the most comprehensive online legal resource for reaching legal professionals and for connecting lawyers with people in need of legal representation by offering a mix of a lawyer directory, legal news, an online career center and an e-shop for legal books and documents.",derecho24.cl,,,,"",,
,,DiligenceEngine,"New York, NY, USA",2008,true,Document Automation - ,Service Providers,Legal Service Using Tech,Technology enhanced contract review: faster and more accurate,https://diligenceengine.com/,https://twitter.com/DiligenceEngine,n/a,n/a,"documents, document review, mergers & acquisitions",,
,,DISCO,"Houston, TX, USA",1900,true,Practice Management -  Discovery,Unknown,Unknown,No description yet,csdisco.com,,,http://www.crunchbase.com/organization/avvo,"",,
,,DivorceMate Software,"Toronto, ON, Canada",2015,true,Document Automation - ,Companies,Legal Tech,Software for family lawyers,https://www.divorcemate.com/home/,https://twitter.com/DivorceMate,,,"family law, forms, document automation, precedents",,
,,doAgree,Wellington,2013,true,Document Automation -  Mobile,Companies,Legal Tech,Instant agreements. Anytime. Anyplace.,http://www.doagree.com,https://twitter.com/doagree,https://angel.co/doagree,n/a,"documents, contracts, mobile, app",,
,,"Docasaurus, Inc.","San Francisco, CA, USA",2015,true,Document Automation - ,Unknown,Unknown,Docasaurus lets lawyers automate their legal documents so they spend less time drafting and less time in Microsoft Word,http://www.docasaurus.com/,,,,"",,
,,DocketHero,"Gainesville, FL, USA",2013,true,Marketplace - ,Service Providers,Legal Service Using Tech,A B2B Marketplace for Law Firms.,http://signup.dockethero.com/,https://twitter.com/DocketHero,n/a,n/a,"recruiting, referrals",,
,,DocNav,"New York, NY, USA",2014,true,Document Automation - ,Unknown,Unknown,"DocNav is a New York City-based startup that is taking the brain damage out of complex legal documents by making them smarter, interactive, and responsive.",docnavapp.com,,,,"",,
,,Docracy,"New York, NY, USA",2011,true,Document Automation - ,Service Providers,Legal Tech,The web_Û__s only open collection of legal contracts and the best way to negotiate and sign documents online.,https://www.docracy.com/,https://twitter.com/Docracy,https://angel.co/docracy,http://www.crunchbase.com/organization/docracy,"documents, contracts, signing",,
,,Document Technologies Inc,"Fremont, CA, USA",1998,true,Document Automation - ,Unknown,Unknown,"Document Technologies, Inc. is a United States-based provider of litigation, discovery and managed support services for the legal and corporate markets in the United States. Its services include discovery and review services, management services, knowledge solutions, and printing and production services. Discovery and review services include litigation readiness and legal hold consulting, data acquisition and forensics, ESI processing and hosting, managed document review, paper-based discovery services and LitWorks discovery training. The Knowledge Solutions platform is comprised of two main offerings: managed services and staffing and placement services. DTI offers a suite of printing and production services: color and black and white copies, oversize color and black and white copies, posters, brochures, pamphlets, banners, advertising and marketing materials, transparencies and custom tabs.",http://docucap.com/,,,https://www.crunchbase.com/organization/document-capture-technologies,"",,
,,DraftLaw,"New York, NY, USA",2015,true,Document Automation - ,Unknown,Unknown,"DraftLaw is the online word processor for litigation attorneys. Litigators and their support staff spend thousands of hours every year formatting the appearance of their court papers, creating series of similar documents, and getting their papers finalized and on file.",draftlaw.com,,,,"",,
,,DroidLaw,"San Francisco, CA, USA",1900,true,Legal Research - ,Unknown,Unknown,No description yet,droidlaw.com,,,,"",,
,,E-Nact,"Philadelphia, PA, USA",2013,true,Document Automation - ,Unknown,Unknown,"E-Nact coordinates multi-party deal-making, negotiation, and consensus building. It ensures momentum toward solution of complex processes, and it does so reliably, with specific, measurable outcomes that results from our deal-sprints.",http://enactllc.wordpress.com/,,,,"",,
,,EasyDataMaps,"Melbourne, Australia",1900,true,Analytics - ,Unknown,Unknown,"Trusted by Fortune 1000 companies and their advisors, EasyDataMaps is award-winning web-based data mapping software and the easiest way for Information Professionals to rapidly create an Evergreen Organizational Data Map of their Information Assets.",https://easydatamaps.com/,,,,"",,
,,EasyIntake,"Los Angeles, CA, USA",2014,true,Practice Management -  Intake,Service Providers,Legal Tech,Seamless client intake in the cloud for lawyers.,http://easyintake.com/,https://twitter.com/EasyIntake,n/a,n/a,"cloud, intake",,
,,EasyLaw.in,"New Delhi, India",2014,true,Marketplace - ,Unknown,Unknown,"EasyLaw.in has already developed a MVP assisting clients in finding experts such as lawyers, chartered accountants, company secretaries and other affiliated professionals located near them.",easylaw.in,,,,"",,
,,EasyNDA,"Palo Alto, CA, USA",2014,true,Document Automation - ,Unknown,Unknown,"EasyNDA sends completed NDA PDFs to both parties automatically. Store them wherever you like. Or connect your DropBox, Box, or Evernote account and EasyNDA will automatically store an additional copy to your cloud. Oh, and we'll remember to send one to your attorney.",easynda.com,,,,"",,
,,eBrevia,"Stamford, CT, USA",1900,true,Analytics -  Contracts,Unknown,Unknown,No description yet,www.ebrevia.com,,,http://www.crunchbase.com/organization/foxwordy,"",,
